date,ticker,offexchange_source_available,offexchange_fresh,offexchange_history_n,offexchange_dpi,offexchange_dpi_z60,offexchange_volume_z60,patent_source_available,patent_count_30,patent_count_90,patent_claims_90,patent_ai_share_90,patent_acceleration_90,patent_count_90_z252,patent_claims_90_z252,patent_drift_source_available,patent_drift,patent_drift_percentile_24m,patent_drift_change_3m,sec13f_source_available,sec13f_fresh,sec13f_window_days,sec13f_net_change_usd_45d,sec13f_gross_change_usd_45d,sec13f_net_usd_ratio_45d,sec13f_net_change_shares_45d,sec13f_gross_change_shares_45d,sec13f_net_share_ratio_45d,sec13f_adders_45d,sec13f_reducers_45d,sec13f_breadth_45d,sec13f_breadth_rate_45d,sec13f_filing_count_45d,sec13f_new_positions_45d,sec13f_full_exits_45d,sec13f_total_held_45d,sec13f_net_change_to_held_45d
2024-01-01,AAPL,1,0,0,,,,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-01-02,AAPL,1,0,0,,,,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-01-03,AAPL,1,0,0,,,,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-01-04,AAPL,1,1,1,0.344233,,,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-01-05,AAPL,1,1,2,0.335798,,,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-01-08,AAPL,1,1,3,0.402245,,,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-01-09,AAPL,1,1,4,0.402245,,,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-01-10,AAPL,1,1,5,0.447166,,,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-01-11,AAPL,1,1,6,0.386166,,,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-01-12,AAPL,1,1,7,0.386166,,,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-01-15,AAPL,1,1,8,0.386166,,,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-01-16,AAPL,1,1,9,0.386166,,,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-01-17,AAPL,1,1,10,0.386166,,,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-01-18,AAPL,1,1,11,0.533807,,,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-01-19,AAPL,1,1,12,0.533807,,,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-01-22,AAPL,1,1,13,0.533807,,,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-01-23,AAPL,1,1,14,0.496379,,,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-01-24,AAPL,1,1,15,0.484861,,,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-01-25,AAPL,1,1,16,0.556455,,,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-01-26,AAPL,1,1,17,0.522936,,,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-01-29,AAPL,1,1,18,0.483702,,,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
2024-01-30,AAPL,1,1,19,0.483702,,,0,,,,,,,,0,,,,0,0,45,,,,,,,,,,,,,,,
